origin,destination,weight
108,126,1628
108,125,2400
125,126,772
4,124,632
124,138,3545
4,138,2913
119,163,1637
40,119,1137
40,163,2774
38,42,262
42,136,3843
38,136,3581
162,166,8250
39,162,9884
39,166,1634
38,135,2836
135,163,1150
38,163,3986
34,118,2537
118,135,1605
34,135,932
23,111,165
23,152,986
111,152,1151
23,26,2093
26,27,1052
23,27,3145
22,155,315
22,154,3810
154,155,3495
82,174,876
82,87,118
87,174,758
38,134,2089
134,135,747
132,134,1023
37,134,1733
37,132,2756
57,167,1563
61,167,591
57,61,972
57,68,1980
57,67,714
67,68,1266
87,179,4543
87,177,8553
177,179,4010
174,179,3785
104,177,6102
104,179,2092
65,73,2771
65,78,2035
73,78,736
135,159,1180
134,159,1927
61,67,258
82,171,398
87,171,280
80,87,853
80,171,1133
80,177,9406
166,167,497
61,166,1088
82,169,25
169,171,373
109,125,5571
4,125,6590
4,109,1019
110,141,7236
7,110,5954
7,141,1282
110,138,4198
7,138,1756
11,13,2827
11,14,2877
13,14,50
14,110,7726
6,110,7496
6,14,230
111,145,136
23,145,29
46,156,1299
156,161,1459
46,161,160
114,159,1378
131,159,1268
114,131,110
33,119,7929
33,162,788
119,162,8717
13,26,2304
13,23,211
4,106,677
106,139,1921
4,139,1244
111,125,7109
109,111,1538
141,144,445
141,143,202
143,144,243
12,127,1800
28,127,5563
12,28,3763
151,154,1301
126,151,2929
126,154,4230
114,152,151
15,114,2145
15,152,2296
56,136,2345
44,136,457
44,56,1888
132,156,347
132,161,1806
121,161,2300
46,121,2140
42,44,3386
46,52,1202
46,59,844
52,59,2046
65,169,644
78,169,1391
94,102,4111
101,102,1045
94,101,5156
41,43,2986
38,41,911
38,43,3897
121,122,2714
41,121,339
41,122,2375
52,156,2501
102,104,2221
101,104,3266
59,64,2120
64,70,4929
59,70,2809
70,90,3651
69,70,3388
69,90,263
99,179,1211
99,104,881
53,165,187
47,165,139
47,53,48
168,169,732
168,171,359
80,168,1492
47,168,1512
47,80,20
74,166,1848
61,74,760
67,73,2243
65,67,528
165,166,1871
39,165,237
168,170,1251
80,170,241
170,171,892
171,173,509
80,173,624
99,174,2574
84,99,327
84,174,2901
99,102,1340
92,94,656
92,101,4500
88,92,919
88,94,1575
82,84,3777
81,88,17
81,84,1506
84,88,1523
78,84,2361
78,82,1416
68,81,1096
68,73,977
73,81,119
73,84,1625
170,173,383
65,74,26
74,169,618
61,65,786
162,167,8747
48,57,2249
48,167,686
118,163,2755
43,45,3145
43,164,1801
45,164,1344
60,68,2837
60,81,1741
42,163,4248
44,163,862
40,44,1912
28,33,9517
28,119,1588
48,162,8061
33,127,3954
47,127,5518
33,47,9472
40,162,7580
40,48,481
53,166,2058
63,74,56
63,168,1406
74,168,1350
53,168,1560
63,166,1904
127,142,4211
47,142,1307
39,47,376
12,142,2411
53,63,154
33,39,9096
112,113,4126
12,112,3906
12,113,220
12,14,3862
6,12,3632
13,112,94
13,113,4032
28,115,3603
115,119,2015
8,141,384
8,143,182
12,143,3574
142,143,1163
8,142,1345
12,144,3817
8,47,38
1,138,1353
1,7,403
6,141,260
4,110,7111
1,8,2069
7,8,1666
4,11,2262
11,110,4849
14,112,44
109,145,1402
11,109,1243
11,145,2645
6,144,185
4,108,8990
106,108,9667
1,124,2192
124,139,1876
2,139,1728
2,124,148
13,145,182
2,106,193
26,113,1728
26,28,2255
26,115,1348
118,119,1118
115,118,897
26,118,451
38,164,2096
136,164,1485
45,136,2829
132,159,2950
34,114,1130
34,159,248
117,159,695
117,131,573
131,154,2459
25,154,3676
25,131,1217
41,134,1178
117,132,2255
27,118,601
28,113,3983
27,34,3138
15,111,3447
15,125,3662
5,126,8007
5,108,9635
15,25,3472
25,126,7906
15,126,4434
25,114,1327
27,152,2159
27,114,2008
116,117,298
117,129,690
116,129,988
30,116,547
30,155,214
116,155,761
116,154,2734
116,131,275
30,129,441
5,140,9678
126,140,1671
140,151,4600
22,151,5111
22,140,9711
22,156,2686
22,30,529
30,156,2157
30,132,2504
129,132,2945
43,122,611
59,72,1173
52,72,873
37,41,2911
37,161,950
37,121,3250
46,122,574
59,122,1418
72,75,4577
70,72,3982
70,75,595
52,71,2063
71,72,1190
52,91,1888
71,91,175
64,122,702
69,83,239
83,90,24
45,122,2534
71,75,3387
75,91,3562
56,60,2111
56,68,726
60,64,4863
60,69,3322
64,69,1541
44,57,818
44,48,1431
45,56,484
56,57,2706
45,60,1627
69,81,1581
81,83,1820
45,64,3236
70,96,40
90,96,3691
88,99,1196
94,99,2771
83,92,884
83,88,1803
90,92,908
92,96,2783
101,103,839
103,104,2427
92,98,162
98,101,4338
103,105,4311
104,105,1884
96,97,4645
96,100,3592
97,100,1053
98,103,3499
96,103,878
96,98,2621
75,96,555
75,97,5200
91,97,1638
100,103,4470
91,100,585
100,105,159
91,105,426
