Event,Time,Cell,Notes
Duplicate,8.092125485540508,e764662c-f9b0-11ed-0c0f-75c97d4d341e,"Base.UUID[UUID(""e76443fe-f9b0-11ed-30b6-dd0b5b4e3b3c"")]"
Duplicate,8.092125485540508,e764662c-f9b0-11ed-3c7b-11e538a36352,"Base.UUID[UUID(""e76443fe-f9b0-11ed-30b6-dd0b5b4e3b3c"")]"
Duplicate,8.772803346210578,e76471ee-f9b0-11ed-0f39-875d45e90207,"Base.UUID[UUID(""e764662c-f9b0-11ed-0c0f-75c97d4d341e"")]"
Duplicate,8.772803346210578,e76471ee-f9b0-11ed-3aaa-e36831c25c08,"Base.UUID[UUID(""e764662c-f9b0-11ed-0c0f-75c97d4d341e"")]"
Duplicate,9.06805084898893,e764739c-f9b0-11ed-0d77-19f1bff29635,"Base.UUID[UUID(""e764662c-f9b0-11ed-3c7b-11e538a36352"")]"
Duplicate,9.06805084898893,e76473a6-f9b0-11ed-2c4c-eb53485d10fa,"Base.UUID[UUID(""e764662c-f9b0-11ed-3c7b-11e538a36352"")]"
Death,12.383324780769328,e76471ee-f9b0-11ed-0f39-875d45e90207,UndefInitializer()
Duplicate,13.603694457545874,e7648404-f9b0-11ed-2f84-c156cc6eb3f3,"Base.UUID[UUID(""e76471ee-f9b0-11ed-3aaa-e36831c25c08"")]"
Duplicate,13.603694457545874,e7648404-f9b0-11ed-027f-1dff3f4e269a,"Base.UUID[UUID(""e76471ee-f9b0-11ed-3aaa-e36831c25c08"")]"
Duplicate,14.076746817820743,e7648616-f9b0-11ed-0421-a9d6e8034fd1,"Base.UUID[UUID(""e76473a6-f9b0-11ed-2c4c-eb53485d10fa"")]"
Duplicate,14.076746817820743,e7648616-f9b0-11ed-18a6-f39c2fd7c1c6,"Base.UUID[UUID(""e76473a6-f9b0-11ed-2c4c-eb53485d10fa"")]"
Duplicate,14.28013824816918,e76487b0-f9b0-11ed-068b-21b59d25aff3,"Base.UUID[UUID(""e764739c-f9b0-11ed-0d77-19f1bff29635"")]"
Duplicate,14.28013824816918,e76487b0-f9b0-11ed-39d9-a5984eef1140,"Base.UUID[UUID(""e764739c-f9b0-11ed-0d77-19f1bff29635"")]"
Death,14.38084085652472,e7648616-f9b0-11ed-18a6-f39c2fd7c1c6,UndefInitializer()
Duplicate,15.80441485384559,e76489b8-f9b0-11ed-055c-fb1bde872e51,"Base.UUID[UUID(""e76487b0-f9b0-11ed-39d9-a5984eef1140"")]"
Duplicate,15.80441485384559,e76489b8-f9b0-11ed-21df-97e8535e77d4,"Base.UUID[UUID(""e76487b0-f9b0-11ed-39d9-a5984eef1140"")]"
Duplicate,17.186101532217027,e7648af8-f9b0-11ed-0379-5b012ddd8810,"Base.UUID[UUID(""e76489b8-f9b0-11ed-055c-fb1bde872e51"")]"
Duplicate,17.186101532217027,e7648af8-f9b0-11ed-1139-3548f64a599a,"Base.UUID[UUID(""e76489b8-f9b0-11ed-055c-fb1bde872e51"")]"
Duplicate,17.848387484024016,e7648c10-f9b0-11ed-0f8f-711ab0a7a6e5,"Base.UUID[UUID(""e7648404-f9b0-11ed-027f-1dff3f4e269a"")]"
Duplicate,17.848387484024016,e7648c10-f9b0-11ed-3e09-e12138165051,"Base.UUID[UUID(""e7648404-f9b0-11ed-027f-1dff3f4e269a"")]"
Duplicate,18.262590461206532,e7648d28-f9b0-11ed-346f-d3c975f573e0,"Base.UUID[UUID(""e7648c10-f9b0-11ed-3e09-e12138165051"")]"
